magnitude,NodeIdentifier,VertexIdentifier,NodeType,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0677864,2,10429,1,29,26,0,0,0
0,0,9223,0,23,23,0,1,0
0.0635064,1,10829,0,29,27,0,2,0
0.142702,4,9630,1,30,24,0,3,0
0.117195,3,9631,0,31,24,0,4,0
0.457957,6,10436,1,36,26,0,5,0
0.215218,5,9239,0,39,23,0,6,0
0.913543,50,8846,1,46,22,0,7,0
0.590381,7,10850,0,50,27,0,8,0
0.955524,55,9699,1,99,24,0,9,0
0.688627,8,8892,0,92,22,0,10,0
1.0121,61,9670,1,70,24,0,11,0
0.694922,9,8863,0,63,22,0,12,0
0.941472,54,9713,1,113,24,0,13,0
0.697987,10,10906,0,106,27,0,14,0
0.978341,56,10084,1,84,25,0,15,0
0.698534,11,10877,0,77,27,0,16,0
0.935916,53,9727,1,127,24,0,17,0
0.720775,12,8920,0,120,22,0,18,0
0.926134,52,10140,1,140,25,0,19,0
0.745115,13,10934,0,134,27,0,20,0
0.916704,51,9755,1,155,24,0,21,0
0.760151,14,8948,0,148,22,0,22,0
0.78961,33,9990,1,390,24,0,23,0
0.768629,15,9998,0,398,24,0,24,0
0.906593,49,10168,1,168,25,0,25,0
0.770897,16,10561,0,161,26,0,26,0
0.893463,48,9783,1,183,24,0,27,0
0.775487,17,9375,0,175,23,0,28,0
0.776311,18,10384,0,384,25,0,29,0
0.793123,34,10377,1,377,25,0,30,0
0.778018,19,9971,0,371,24,0,31,0
0.883484,47,10196,1,196,25,0,32,0
0.779153,20,10589,0,189,26,0,33,0
0.804104,36,10349,1,349,25,0,34,0
0.780706,21,9943,0,343,24,0,35,0
0.872318,46,9811,1,211,24,0,36,0
0.780971,22,9403,0,203,23,0,37,0
0.801948,35,9963,1,363,24,0,38,0
0.781024,23,10356,0,356,25,0,39,0
0.822202,40,10294,1,294,25,0,40,0
0.781265,24,9887,0,287,24,0,41,0
0.809789,37,9935,1,335,24,0,42,0
0.781901,25,10329,0,329,25,0,43,0
0.82028,39,9908,1,308,24,0,44,0
0.782009,26,10301,0,301,25,0,45,0
0.813386,38,10322,1,322,25,0,46,0
0.782207,27,9915,0,315,24,0,47,0
0.829195,41,9880,1,280,24,0,48,0
0.782437,28,10273,0,273,25,0,49,0
0.835183,42,10266,1,266,25,0,50,0
0.782987,29,9459,0,259,23,0,51,0
0.862757,45,9824,1,224,24,0,52,0
0.783189,30,10617,0,217,26,0,53,0
0.852643,44,10238,1,238,25,0,54,0
0.783363,31,9431,0,231,23,0,55,0
0.844638,43,9852,1,252,24,0,56,0
0.783963,32,10645,0,245,26,0,57,0
1.00016,59,14800,1,0,37,0,58,0
1.00007,57,17200,0,0,43,0,59,0
1.00019,60,6000,1,0,15,0,60,0
1.00008,58,0,0,0,0,0,61,0
1.03165,74,10057,1,57,25,0,62,0
1.01228,65,18478,1,78,46,0,63,0
1.01227,64,19278,1,78,48,0,64,0
1.01226,62,19678,0,78,49,0,65,0
1.01227,63,18878,0,78,47,0,66,0
1.01901,67,1293,1,93,3,0,67,0
1.01823,66,93,0,93,0,0,68,0
1.02526,69,18506,1,106,46,0,69,0
1.02431,68,19709,0,109,49,0,70,0
1.02899,71,1321,1,121,3,0,71,0
1.02763,70,121,0,121,0,0,72,0
1.03095,73,18534,1,134,46,0,73,0
1.03004,72,19734,0,134,49,0,74,0
1.03225,76,1347,1,147,3,0,75,0
1.03215,75,147,0,147,0,0,76,0
1.0862,78,43,1,43,0,0,77,0
1.08509,77,38,0,38,0,0,78,0
1.42109,79,8025,3,25,20,0,79,0
