Node:0,Node:1,Scalar:0,Scalar:1
100,6564,0.0187129,0.0261519
0,47,0.0218664,0.0262985
10200,6564,0.0230186,0.0261519
1020200,571356,0.0235441,0.0314189
6564,47,0.0261519,0.0262985
47,571356,0.0262985,0.0314189
1030300,1027472,0.0309903,0.0349465
571356,1027472,0.0314189,0.0349465
1020100,663065,0.0319761,0.0438472
1027472,7272,0.0349465,0.043207
10100,7272,0.035195,0.043207
7272,663065,0.043207,0.0438472
663065,1025150,0.0438472,0.0638947
1030200,1025150,0.0444421,0.0638947
1025150,866332,0.0638947,1.0
